sample_idx,csg,csl,d_adv_T,d_adv
155,250.27075,69.35826,0.2938568396321434,0.0002156822604060016
156,208.30153,38.748405,0.23609307625170337,1.2420644675665439e-05
157,1039.1287,110.69318,1.282335264345394,0.011023393483278467
158,149.46371,41.575943,0.16994978565140417,0.0006560871603063512
159,528.02454,168.19263,0.7013755207230558,1.9073162598914054e-05
160,156.5422,27.386116,0.17517212551164194,0.00513258439095979
161,137.40012,22.97168,0.15299618653161934,0.001087107842812329
162,424.3982,59.763214,0.49275812204817027,0.0004793789587219617
163,1773.5198,206.39441,2.4816980557138155,0.0014179327416580874
164,6.779917,6.4583607,0.007413182897072505,2.5806880489095147e-06
165,615.0002,157.09943,0.8050429635037922,0.0043473600748979374
166,2.2251306,8.833532,0.002439299853646349,5.888558234872653e-06
167,460.10992,48.11007,0.5270904926700498,0.0012445842178107527
168,193.58165,35.28239,0.2185507083418269,0.006142879421502639
169,72.21655,14.50325,0.07966254843618123,1.2343064469325156e-08
170,384.34958,43.623623,0.43804993944841597,9.706756883259756e-05
171,572.35034,82.016174,0.6821670516414572,0.00025945235126572297
172,22.459116,5.9257703,0.024542577959379707,1.758960685511292e-09
173,373.29755,43.21201,0.42525424810265267,0.013240029706888305
174,232.01175,84.187874,0.2772453999627706,0.0036055242951096456
175,88.05177,20.562256,0.0977840448707148,0.0003694920077977494
176,128.8087,14.301152,0.14205804454294532,2.9713575874162008e-05
177,762.4964,140.90111,0.9773929162327794,0.00013251958206673186
178,182.84387,27.566761,0.20464529249654756,0.0007300204308141995
179,290.62302,44.693214,0.33163240693818485,5.6005940615271764e-05
180,101.00577,12.39842,0.11116201692685751,0.0008218155590926833
181,275.2575,56.264698,0.31830164976523334,0.0017127477489167567
182,394.02795,55.004887,0.45498232229432,0.0023176070873589323
183,590.6533,110.04419,0.7283116082827465,0.0006825958130956977
184,343.64615,48.920784,0.3940384433098743,0.000872367806502099
185,28.092316,18.702734,0.03113303902241227,1.6127452318112232e-05
186,209.13535,61.943546,0.24343808675969592,0.00032881917572579714
187,409.62448,52.565536,0.47166302620210043,0.005730405205799657
188,445.48032,91.47105,0.5370060153706842,5.4900885506222934e-06
189,433.61188,102.25979,0.5295866084425377,5.247917241087812e-05
190,209.92819,67.48682,0.24594795346388745,0.0005172424640188685
191,495.51062,60.338604,0.5757095959721685,0.007628472132861517
192,450.22397,57.04626,0.5210999285199626,0.02960816162324649
193,424.51074,151.73721,0.5518165796460704,6.96575122172523e-06
194,93.034195,17.652721,0.10298441346947912,0.00014376632374970974
195,141.3756,28.747295,0.1584418869707409,1.7244337737315226e-05
196,157.15005,26.098795,0.17559935904918147,9.495647626422321e-06
197,246.63362,58.621143,0.285980906561628,0.0006101535886190736
198,229.47153,60.42389,0.26663818410999485,0.023212053883627
199,60.46972,11.454579,0.06648096371520192,2.1499668337942416e-06
200,7.056973,5.74055,0.007710065765261533,3.4031787459192313e-09
201,253.93729,51.76501,0.2921273836695549,0.0021978975567292025
202,50.939796,11.188262,0.05598728689577923,3.095085546244627e-05
203,46.60102,13.781715,0.051365005845613154,0.00031643536672334353
204,25.162199,3.7468667,0.027431103180906042,4.770989631732978e-06
205,872.50696,103.71184,1.0675189767465394,0.02680861818862929
206,34.181988,8.983849,0.03747818726282452,3.467371227556311e-06
207,585.15857,120.47241,0.7309350723258893,0.005544277888543948
208,155.22809,16.009718,0.17151814053603215,1.14614364001394e-05
209,177.3833,12.666721,0.1952770621368752,0.007042884323565446
210,595.5389,77.23482,0.7057826856141055,0.0001605553051241106
211,189.89818,33.769207,0.21402649089362993,0.003712106261446183
212,193.37274,28.685661,0.2167009510248021,0.007370086397912668
213,859.5055,208.40631,1.2061072866071867,0.0004283976594767734
214,87.49843,19.578537,0.09706350266232301,1.8020989220699224e-05
215,559.0829,125.5986,0.702863942451691,0.004901700165530885
216,222.12851,72.38177,0.2617426682202122,0.0005120494379522601
217,229.79889,30.97759,0.2581846241642865,2.1084649896388176e-06
218,592.138,85.168015,0.7084125738180205,0.03482644126497802
219,7.6405535,6.018357,0.00835018856846081,2.0198246692089987e-06
220,72.24853,19.018423,0.0800967592977721,1.5048282690430908e-06
221,323.93756,63.856678,0.3779119426829259,0.005599754926771835
222,14.364649,20.727798,0.01595529187837905,4.3436203499500563e-07
223,32.608765,22.121637,0.036275798012936976,1.527711162438376e-05
224,79.05516,14.93185,0.08724751101714387,0.0009566012275982383
225,100.45966,24.354485,0.11203518926609057,0.00041775084893749776
226,113.736565,24.847233,0.12691167073689935,0.00046218157327513427
227,4.322683,6.8205085,0.004728307689312513,1.6876302425523225e-05
228,572.8811,100.93254,0.6985490285003981,0.00022387452432796507
229,121.119354,33.83892,0.1365194104217814,1.697492711724867e-05
230,818.6927,102.25467,0.9998941350695063,5.999078433889448e-06
231,308.42276,43.54075,0.35148161702864633,0.0003560328604551171
232,406.3812,81.78285,0.4842187920841394,0.0004234943968027119
233,2.0210373,4.6090164,0.0022053493677460447,6.601853819676621e-10
234,419.86713,61.860703,0.4886873341096924,0.0002148914210011864
235,437.1264,74.316444,0.516259975610305,0.003017145717853664
236,32.443245,14.214253,0.035776948755016,0.0002413453192927609
237,272.78094,54.83748,0.31491806579953413,0.0019543532647141623
238,148.47896,35.482307,0.16766830568933858,1.7127915181015024e-05
239,126.845,57.175926,0.14683545782225518,0.000760827117098326
240,149.033,40.346386,0.16922345232209168,6.632193275511584e-05
241,64.44616,14.335607,0.07107783270173788,5.384517566159836e-06
242,626.4491,153.05583,0.8157120766774741,0.002193022142703099
243,272.5265,32.98347,0.3068817245383206,0.0004028717733046288
244,534.5364,97.44454,0.6490325338347485,0.022968283844349163
245,89.520874,20.621832,0.09942210189514684,0.0006974567241292602
246,141.02737,26.086483,0.1575817192931831,7.19950600599112e-05
247,709.4664,179.80391,0.9571472379865622,0.00011708126694631996
248,56.658413,9.409937,0.06215106962957117,2.0918331166788845e-06
249,141.17374,62.67968,0.16447022767115432,0.011426962209524381
250,550.4748,130.10684,0.6959866797484178,0.0014252434941368684
251,175.36348,30.458714,0.1969103285864279,0.00032795580545748326
252,44.210747,11.931814,0.04863121621131354,1.0118047232049921e-05
253,74.97778,15.952122,0.08284088094356289,0.005264867309212728
254,325.5127,96.49366,0.3947807824861526,0.0005165661603398259
255,207.96501,27.392298,0.2327163139490034,0.002434793908956481
256,129.11064,10.3456335,0.14177257660917833,0.0007228003693831102
257,232.1106,35.678802,0.2621666271387405,0.0001689086728928325
258,407.8823,104.497826,0.49952750155916137,0.0025344649677352202
259,815.79236,205.23738,1.1396984762540239,0.04506308926141534
260,191.44885,43.095455,0.21806633910155634,0.007998793211566973
261,446.95624,56.109787,0.516757667141106,0.0003050468608330791
262,671.91675,82.31947,0.8011268397401267,6.517752220520375e-05
263,95.35525,55.543846,0.11017484482390796,5.9252039549978e-05
264,326.6602,60.969772,0.3798090446425488,0.0005549091356790652
265,421.7295,64.613686,0.492432823909641,0.0001429871839515728
266,185.2201,47.57416,0.21205335005406792,1.4453290822383357e-05
267,454.29474,97.63504,0.5517309839717953,0.0027859160958936396
268,587.67145,84.18699,0.7022447517738555,0.008390105956506045
269,281.0522,28.739925,0.31497707015817333,0.007862220988215369
270,228.13615,41.658485,0.2594297211372978,2.7101551631401457e-05
271,15.433512,10.111743,0.016942731374397287,7.317653601691794e-06
272,38.805122,19.79485,0.04305751780511387,1.279547640348054e-05
273,610.3777,148.5864,0.7901864830837032,0.0014248946379744475
274,0.7066268,0.3056591,0.0007674649654316935,1.0638240742043424e-09
275,40.117935,5.07029,0.043798605902519154,1.7011890409392367e-05
276,236.63084,34.032764,0.2667762171060858,0.005662986645317261
277,4.857406,7.4273987,0.005316736913447366,0.0001581234499554651
278,126.69388,21.842304,0.14089751220856986,0.0008723989948019793
279,60.88628,9.092905,0.06676558158529072,0.0001422503685686025
280,38.271156,15.246172,0.04225178739901231,8.562235492451543e-08
281,4.337723,10.9130125,0.0047660944650504515,4.094572030867327e-10
282,295.47836,47.8781,0.3384027421740592,0.0014784969691911665
283,2.5127554,4.1491375,0.002740535256714902,2.34745695108711e-08
284,1597.2991,245.2909,2.3637665987289536,0.043546106091026056
285,294.16406,71.36142,0.34620871196048614,0.0017273885382247526
286,217.26988,70.34744,0.25540532034779206,0.0025545341775534
287,261.6678,61.572384,0.3044554514263052,0.008940608906432005
288,701.00916,112.57802,0.8670962164790854,0.01796670499842081
289,6.8479505,6.6881313,0.007489452749328047,9.33748674470368e-05
290,401.4461,43.274986,0.4573534223668711,5.720222360395182e-05
291,254.88164,57.54797,0.29517747558621144,0.0003345464523725752
292,918.5122,172.49556,1.227074137980567,0.0028939220855994257
293,374.9342,42.98539,0.4270084637949373,0.0012414670367784924
294,242.52115,32.51077,0.2729485623301737,0.00019880250792229397
295,366.37256,110.96178,0.45227145339274344,0.0005309436820013714
296,593.83325,61.35311,0.690760064624747,0.019281899042011767
297,923.91974,239.26631,1.355182570456772,0.0010489335571404674
298,190.24066,50.986893,0.21865557840634758,0.0029973763917353654
299,24.18469,7.56011,0.02647551260939866,8.668199811327475e-05
300,104.964714,25.582382,0.11721985599625338,6.464634752373566e-05
301,41.90829,18.277168,0.046422566590886914,0.000275069467127328
302,104.35615,20.033123,0.11582246601916696,2.8578169648431647e-06
303,215.857,29.306963,0.24206621158708888,0.0002786788315315737
304,423.74008,67.51479,0.4964622471770537,0.003489416472965102
305,192.48927,77.44909,0.22818007065418167,0.0004178779823309771
306,1839.4957,440.46936,3.8277797269825125,0.05229701421562827
307,114.06,35.566265,0.12881326814307725,0.0001333007712885305
308,430.54526,70.42883,0.5061634415674001,8.529372552099553e-06
309,316.5695,135.16167,0.4028255738181277,0.0017886956102914292
310,506.25092,108.71986,0.6232205806671416,0.0011990556259905863
311,279.44366,66.79739,0.3271267589723369,0.0035255588313955733
312,145.32372,15.09548,0.16041233044960174,8.5183407553871e-05
313,498.1852,72.718864,0.587264294191676,0.00014976478319113666
314,118.05562,21.82792,0.1312887180682007,8.296747637492444e-06
315,385.51776,98.618484,0.46876273188667666,0.0019041877512882917
316,15.135079,8.044162,0.01657748874508071,9.998747432150436e-06
317,376.51544,145.04803,0.48520906390919055,4.674307052212929e-06
318,31.12598,6.1440206,0.03402155429727866,0.00020853767430374073
319,595.5415,173.63861,0.7968225157700796,0.0002774909160553459
320,236.25586,16.620993,0.26122562119353465,0.005735334602013307
321,83.9305,10.273789,0.0921543253773139,0.001592902632585968
322,219.8592,38.450882,0.24910877331822873,0.007165494038196039
323,425.6143,95.34657,0.5154665738800257,0.12780534191734022
324,141.78575,49.761127,0.162734029441188,0.0003406688029911134
325,27.19475,12.1512375,0.029921074357228166,6.447996943134828e-06
326,506.2649,179.20703,0.682456810709842,0.0001732404070758291
327,164.5235,18.835897,0.18235849896588105,1.8838080086034855e-05
328,1080.199,90.40703,1.3004621363195834,0.0008127711417936128
329,0.9435124,3.4057047,0.0010282075506450256,1.218757106271045e-07
330,779.9898,125.69277,0.9806982752836905,0.0008618741901306868
331,105.97762,22.739199,0.11797643539971972,1.0003805698117512e-05
332,913.1057,181.90192,1.235375499622983,0.0072964796030685055
333,141.98305,23.53706,0.15819891437890515,8.525032765289379e-06
334,609.18335,69.83384,0.7156757613504579,0.00679036654848956
335,93.962524,22.711676,0.10459777963385505,0.00016391453090824806
336,123.78392,37.457886,0.14009422966435703,0.0002943452589620492
337,12.131016,9.2886305,0.013305266676715367,2.9278266362385547e-09
338,317.1507,63.145924,0.36968771425888797,2.79790662568972e-06
339,47.952652,16.825397,0.05303272925269659,4.255829004591763e-06
340,185.09604,31.284016,0.20803150810532806,2.267193603861667e-05
341,91.6176,14.636675,0.1010788460957572,0.0002609994775307071
342,973.4989,150.15514,1.262842840802117,0.0019904500348667314
343,381.45496,74.652275,0.45068900717130933,0.01022371354812748
344,508.72202,80.03324,0.6049007537743537,0.002348166936391786
345,100.7569,18.20256,0.11160100147671177,0.0007769245682575736
346,602.30066,81.34033,0.7172861431176699,0.0015511421152397658
347,213.61801,47.791573,0.24462622940085144,8.558812150919037e-07
348,3.5424166,2.2983055,0.003855751387905197,1.7743849104699693e-09
349,39.144997,6.6807137,0.04281167425661747,7.2691158546295646e-06
350,150.92894,57.634613,0.17480778373915493,0.0002425147615846228
351,869.5676,74.11595,1.0267434852036814,2.1764847121104408e-05
352,301.4796,55.95491,0.34849946655294645,0.01598109541245925
353,316.71945,44.63403,0.36138686567982264,0.0014642696626221987
354,185.42699,30.095705,0.20812550094626636,0.0004219522565016721
355,7.310356,15.169226,0.008070029928620706,8.14842074953955e-07
356,1113.1804,157.82092,1.458544669891087,0.00011125209342250743
357,665.40173,79.31201,0.7905243218734711,4.0442542579095304e-05
358,385.0762,48.88526,0.4415258189176016,0.002483071132061668
359,19.506193,2.3763192,0.021233363393353695,1.8123882715381526e-06
360,498.72232,107.47444,0.6130126461672909,0.0026576283804417692
361,198.20998,33.82555,0.2234085663899229,1.0991042961094493e-06
362,81.60091,7.313215,0.08930616920382153,0.002545090380233098
363,7.6253405,7.11694,0.008343580052593414,7.186276011317826e-06
364,235.48209,86.536766,0.28218436934868857,0.00024509595220676463
365,439.1574,60.67794,0.5104367962127202,0.006651444090127643
366,357.97708,57.258728,0.41443310256492444,0.0005147658627965788
367,62.93279,21.088112,0.06992952251705258,2.2623412822464926e-05
368,409.16803,47.898857,0.4686193376686155,0.0006456965811724035
369,280.1292,58.90105,0.324925754807804,0.004153581253956235
370,67.92532,21.048431,0.07547378874553003,0.007633041771729595
371,111.45537,13.104021,0.12275766420580198,0.00013067769810988137
372,201.8306,19.704271,0.22392536512572156,0.000733617000195417
373,16.646763,3.885776,0.01815056905513198,3.439695898414741e-08
374,645.44617,123.3672,0.8091676112439343,0.012118008830426517
375,624.44354,93.25368,0.7543589734460082,0.039784959348237364
376,447.98856,93.23504,0.5411803550762252,0.0002428341777738824
377,195.92635,32.62035,0.22053503747496664,8.10673532186124e-05
378,193.06796,32.681953,0.217332706450666,0.005083259454877141
379,155.22552,25.505016,0.17333388565257904,1.2405496187398542e-05
380,347.47827,56.53559,0.4019420428836502,0.00040581885864225865
381,95.51918,24.959534,0.10659736430842748,5.119077405487559e-05
382,335.3704,86.02799,0.4016382801944286,0.0011436948095923925
383,427.70218,56.16804,0.4945299976509025,0.0012430384315099796
384,316.32074,46.805264,0.36182833289140953,0.0004961988801045292
385,142.25822,25.664251,0.15888209177049895,0.00010149281222510707
386,313.47327,56.303795,0.36250989181793236,0.0010544945033609456
387,420.1458,116.21488,0.5220375412546076,0.006648264090990444
388,121.443115,33.66242,0.13685710998292702,0.00018941453029678972
389,105.10507,26.563301,0.1175053221733362,2.5552117546026456e-05
390,23.829826,16.610258,0.026348075875220603,7.707554278716177e-07
391,127.65228,12.087444,0.14043980549893864,0.0009867172953835226
392,739.09186,150.52374,0.9592238587387886,0.19914674007947464
393,360.45544,74.82797,0.42596651021034404,0.0002919265572453997
394,371.1181,29.123734,0.4160935258813647,0.004667719061449789
395,548.54724,84.65102,0.6558565005052024,0.01322232925368136
